Rank,Company,Symbol,Weight,,
1,Apple Inc.,AAPL,6.863952,,Last Update: 03 Jan 2021
2,Microsoft Corporation,MSFT,6.29614,,
3,Amazon.com Inc.,AMZN,3.635777,,Source: https://finasko.com/sp-500-companies-weightage/
4,Alphabet Inc. Class A,GOOGL,2.173763,,
5,Tesla Inc,TSLA,2.15175,,
6,Alphabet Inc. Class C,GOOG,2.017663,,
7,Meta Platforms Inc. Class A,FB,2.013766,,
8,NVIDIA Corporation,NVDA,1.828012,,
9,Berkshire Hathaway Inc. Class B,BRK-B,1.357654,,
10,UnitedHealth Group Incorporated,UNH,1.174155,,
11,JPMorgan Chase & Co.,JPM,1.157422,,
12,Johnson & Johnson,JNJ,1.12109,,
13,Home Depot Inc.,HD,1.069188,,
14,Procter & Gamble Company,PG,0.973797,,
15,Visa Inc. Class A,V,0.902937,,
16,Pfizer Inc.,PFE,0.81011,,
17,Bank of America Corp,BAC,0.792495,,
18,Mastercard Incorporated Class A,MA,0.775045,,
19,Walt Disney Company,DIS,0.700261,,
20,Broadcom Inc.,AVGO,0.676567,,
21,Netflix Inc.,NFLX,0.670083,,
22,Adobe Inc.,ADBE,0.669939,,
23,Cisco Systems Inc.,CSCO,0.663144,,
24,Thermo Fisher Scientific Inc.,TMO,0.648058,,
25,Accenture Plc Class A,ACN,0.646787,,
26,Exxon Mobil Corporation,XOM,0.636034,,
27,salesforce.com inc.,CRM,0.617794,,
28,Abbott Laboratories,ABT,0.61608,,
29,Costco Wholesale Corporation,COST,0.615757,,
30,AbbVie Inc.,ABBV,0.593901,,
31,PepsiCo Inc.,PEP,0.590027,,
32,Comcast Corporation Class A,CMCSA,0.571081,,
33,Coca-Cola Company,KO,0.564733,,
34,Chevron Corporation,CVX,0.559962,,
35,PayPal Holdings Inc.,PYPL,0.557165,,
36,Eli Lilly and Company,LLY,0.544027,,
37,Verizon Communications Inc.,VZ,0.534621,,
38,NIKE Inc. Class B,NKE,0.527858,,
39,Intel Corporation,INTC,0.520053,,
40,Danaher Corporation,DHR,0.516267,,
41,Qualcomm Inc,QCOM,0.505778,,
42,Walmart Inc.,WMT,0.504264,,
43,McDonald's Corporation,MCD,0.493481,,
44,Merck & Co. Inc.,MRK,0.481278,,
45,Wells Fargo & Company,WFC,0.473918,,
46,NextEra Energy Inc.,NEE,0.449863,,
47,Intuit Inc.,INTU,0.449292,,
48,Lowe's Companies Inc.,LOW,0.438707,,
49,Linde plc,LIN,0.436142,,
50,AT&T Inc.,T,0.436096,,
51,Advanced Micro Devices Inc.,AMD,0.433913,,
52,Texas Instruments Incorporated,TXN,0.432307,,
53,Union Pacific Corporation,UNP,0.396443,,
54,United Parcel Service Inc. Class B,UPS,0.385464,,
55,Philip Morris International Inc.,PM,0.362096,,
56,Applied Materials Inc.,AMAT,0.352514,,
57,Honeywell International Inc.,HON,0.352414,,
58,Oracle Corporation,ORCL,0.350784,,
59,Morgan Stanley,MS,0.350492,,
60,Medtronic Plc,MDT,0.347477,,
61,Bristol-Myers Squibb Company,BMY,0.342419,,
62,Starbucks Corporation,SBUX,0.337827,,
63,CVS Health Corporation,CVS,0.337215,,
64,American Tower Corporation,AMT,0.326617,,
65,Goldman Sachs Group Inc.,GS,0.32344,,
66,BlackRock Inc.,BLK,0.322054,,
67,ServiceNow Inc.,NOW,0.321913,,
68,Intuitive Surgical Inc.,ISRG,0.319338,,
69,Raytheon Technologies Corporation,RTX,0.318831,,
70,Amgen Inc.,AMGN,0.316912,,
71,Charles Schwab Corporation,SCHW,0.313881,,
72,Prologis Inc.,PLD,0.306062,,
73,Citigroup Inc.,C,0.296316,,
74,International Business Machines Corporation,IBM,0.296139,,
75,Zoetis Inc. Class A,ZTS,0.286654,,
76,Anthem Inc.,ANTM,0.280987,,
77,S&P Global Inc.,SPGI,0.2797,,
78,Target Corporation,TGT,0.2797,,
79,Boeing Company,BA,0.275558,,
80,Caterpillar Inc.,CAT,0.275486,,
81,Micron Technology Inc.,MU,0.26075,,
82,General Electric Company,GE,0.256458,,
83,Automatic Data Processing Inc.,ADP,0.256299,,
84,American Express Company,AXP,0.254508,,
85,3M Company,MMM,0.253595,,
86,Lam Research Corporation,LRCX,0.24995,,
87,Booking Holdings Inc.,BKNG,0.242679,,
88,Deere & Company,DE,0.239532,,
89,ConocoPhillips,COP,0.235593,,
90,Analog Devices Inc.,ADI,0.231953,,
91,Gilead Sciences Inc.,GILD,0.226939,,
92,Mondelez International Inc. Class A,MDLZ,0.226745,,
93,TJX Companies Inc,TJX,0.224809,,
94,Stryker Corporation,SYK,0.224135,,
95,Crown Castle International Corp,CCI,0.221718,,
96,Moderna Inc.,MRNA,0.219331,,
97,Marsh & McLennan Companies Inc.,MMC,0.216834,,
98,Altria Group Inc,MO,0.21496,,
99,Lockheed Martin Corporation,LMT,0.214917,,
100,PNC Financial Services Group Inc.,PNC,0.210718,,
101,Estee Lauder Companies Inc. Class A,EL,0.210152,,
102,Sherwin-Williams Company,SHW,0.208636,,
103,General Motors Company,GM,0.208207,,
104,Chubb Limited,CB,0.205549,,
105,CSX Corporation,CSX,0.204557,,
106,CME Group Inc. Class A,CME,0.202611,,
107,Edwards Lifesciences Corporation,EW,0.200978,,
108,Charter Communications Inc. Class A,CHTR,0.200932,,
109,Duke Energy Corporation,DUK,0.198894,,
110,Ford Motor Company,F,0.198175,,
111,Truist Financial Corporation,TFC,0.192658,,
112,Intercontinental Exchange Inc.,ICE,0.190035,,
113,Cigna Corporation,CI,0.188984,,
114,Equinix Inc.,EQIX,0.187276,,
115,U.S. Bancorp,USB,0.186915,,
116,Becton Dickinson and Company,BDX,0.179474,,
117,Southern Company,SO,0.178581,,
118,Norfolk Southern Corporation,NSC,0.177236,,
119,Colgate-Palmolive Company,CL,0.176042,,
120,Illinois Tool Works Inc.,ITW,0.173524,,
121,T-Mobile US Inc.,TMUS,0.168603,,
122,Eaton Corp. Plc,ETN,0.168577,,
123,Regeneron Pharmaceuticals Inc.,REGN,0.166655,,
124,Air Products and Chemicals Inc.,APD,0.16597,,
125,Fidelity National Information Services Inc.,FIS,0.165517,,
126,Aon Plc Class A,AON,0.16326,,
127,KLA Corporation,KLAC,0.160923,,
128,Waste Management Inc.,WM,0.158376,,
129,FedEx Corporation,FDX,0.156999,,
130,Dominion Energy Inc,D,0.156524,,
131,Moody's Corporation,MCO,0.156231,,
132,Fiserv Inc.,FISV,0.153688,,
133,Capital One Financial Corporation,COF,0.153002,,
134,Autodesk Inc.,ADSK,0.152901,,
135,HCA Healthcare Inc,HCA,0.152751,,
136,Boston Scientific Corporation,BSX,0.151028,,
137,Freeport-McMoRan Inc.,FCX,0.150795,,
138,NXP Semiconductors NV,NXPI,0.149553,,
139,Progressive Corporation,PGR,0.148771,,
140,Illumina Inc.,ILMN,0.148462,,
141,Humana Inc.,HUM,0.147819,,
142,Ecolab Inc.,ECL,0.143713,,
143,Northrop Grumman Corporation,NOC,0.142744,,
144,Johnson Controls International plc,JCI,0.142321,,
145,Public Storage,PSA,0.140054,,
146,Vertex Pharmaceuticals Incorporated,VRTX,0.139778,,
147,Synopsys Inc.,SNPS,0.13962,,
148,IDEXX Laboratories Inc.,IDXX,0.138815,,
149,Exelon Corporation,EXC,0.138359,,
150,Dollar General Corporation,DG,0.137406,,
151,Emerson Electric Co.,EMR,0.136671,,
152,IQVIA Holdings Inc,IQV,0.133548,,
153,Xilinx Inc.,XLNX,0.130668,,
154,IHS Markit Ltd.,INFO,0.130151,,
155,TE Connectivity Ltd.,TEL,0.129935,,
156,Simon Property Group Inc.,SPG,0.129753,,
157,Activision Blizzard Inc.,ATVI,0.1295,,
158,DexCom Inc.,DXCM,0.129196,,
159,Cadence Design Systems Inc.,CDNS,0.128534,,
160,EOG Resources Inc.,EOG,0.128474,,
161,Amphenol Corporation Class A,APH,0.12843,,
162,Roper Technologies Inc.,ROP,0.127238,,
163,MSCI Inc. Class A,MSCI,0.124536,,
164,Digital Realty Trust Inc.,DLR,0.12275,,
165,Newmont Corporation,NEM,0.121427,,
166,Chipotle Mexican Grill Inc.,CMG,0.121069,,
167,Centene Corporation,CNC,0.120818,,
168,Agilent Technologies Inc.,A,0.120436,,
169,Fortinet Inc.,FTNT,0.120358,,
170,Align Technology Inc.,ALGN,0.120008,,
171,Microchip Technology Incorporated,MCHP,0.119415,,
172,General Dynamics Corporation,GD,0.118209,,
173,Trane Technologies plc,TT,0.117708,,
174,Kimberly-Clark Corporation,KMB,0.117591,,
175,O'Reilly Automotive Inc.,ORLY,0.116881,,
176,American International Group Inc.,AIG,0.116413,,
177,Cognizant Technology Solutions Corporation Class A,CTSH,0.11533,,
178,Carrier Global Corp.,CARR,0.114635,,
179,Motorola Solutions Inc.,MSI,0.113226,,
180,MetLife Inc.,MET,0.112413,,
181,Marriott International Inc. Class A,MAR,0.111281,,
182,T. Rowe Price Group,TROW,0.110909,,
183,American Electric Power Company Inc.,AEP,0.109526,,
184,Aptiv PLC,APTV,0.108883,,
185,Bank of New York Mellon Corporation,BK,0.108828,,
186,AutoZone Inc.,AZO,0.107913,,
187,Paychex Inc.,PAYX,0.107821,,
188,HP Inc.,HPQ,0.107505,,
189,Baxter International Inc.,BAX,0.106624,,
190,Hilton Worldwide Holdings Inc,HLT,0.106565,,
191,eBay Inc.,EBAY,0.105059,,
192,SBA Communications Corp. Class A,SBAC,0.104999,,
193,Dow Inc.,DOW,0.10446,,
194,DuPont de Nemours Inc.,DD,0.103389,,
195,Sempra Energy,SRE,0.103286,,
196,L3Harris Technologies Inc,LHX,0.103245,,
197,Schlumberger NV,SLB,0.102895,,
198,Pioneer Natural Resources Company,PXD,0.101481,,
199,Prudential Financial Inc.,PRU,0.101466,,
200,Constellation Brands Inc. Class A,STZ,0.101239,,
201,Yum! Brands Inc.,YUM,0.100906,,
202,Ross Stores Inc.,ROST,0.100685,,
203,Realty Income Corporation,O,0.10056,,
204,Parker-Hannifin Corporation,PH,0.10031,,
205,General Mills Inc.,GIS,0.100281,,
206,PPG Industries Inc.,PPG,0.100193,,
207,Rockwell Automation Inc.,ROK,0.099275,,
208,Global Payments Inc.,GPN,0.098745,,
209,Sysco Corporation,SYY,0.098456,,
210,SVB Financial Group,SIVB,0.098335,,
211,Mettler-Toledo International Inc.,MTD,0.097212,,
212,Marathon Petroleum Corporation,MPC,0.096486,,
213,Travelers Companies Inc.,TRV,0.096475,,
214,McKesson Corporation,MCK,0.094938,,
215,Cintas Corporation,CTAS,0.094891,,
216,Electronic Arts Inc.,EA,0.094378,,
217,EPAM Systems Inc.,EPAM,0.094338,,
218,ResMed Inc.,RMD,0.094058,,
219,Keysight Technologies Inc,KEYS,0.093986,,
220,International Flavors & Fragrances Inc.,IFF,0.093464,,
221,Match Group Inc.,MTCH,0.093205,,
222,Welltower Inc.,WELL,0.092417,,
223,Archer-Daniels-Midland Company,ADM,0.09227,,
224,Walgreens Boots Alliance Inc,WBA,0.092089,,
225,First Republic Bank,FRC,0.091628,,
226,Otis Worldwide Corporation,OTIS,0.090921,,
227,Verisk Analytics Inc,VRSK,0.090781,,
228,Xcel Energy Inc.,XEL,0.090642,,
229,Fastenal Company,FAST,0.090481,,
230,CBRE Group Inc. Class A,CBRE,0.089878,,
231,Aflac Incorporated,AFL,0.089117,,
232,Biogen Inc.,BIIB,0.088178,,
233,Monster Beverage Corporation,MNST,0.087694,,
234,Equifax Inc.,EFX,0.087626,,
235,Twitter Inc.,TWTR,0.087529,,
236,ANSYS Inc.,ANSS,0.087154,,
237,AvalonBay Communities Inc.,AVB,0.086549,,
238,D.R. Horton Inc.,DHI,0.086456,,
239,West Pharmaceutical Services Inc.,WST,0.08603,,
240,Arthur J. Gallagher & Co.,AJG,0.086005,,
241,Discover Financial Services,DFS,0.085533,,
242,Corteva Inc,CTVA,0.085342,,
243,Ameriprise Financial Inc.,AMP,0.084701,,
244,American Water Works Company Inc.,AWK,0.084217,,
245,State Street Corporation,STT,0.084114,,
246,AMETEK Inc.,AME,0.08355,,
247,Allstate Corporation,ALL,0.083369,,
248,Public Service Enterprise Group Inc,PEG,0.082726,,
249,Old Dominion Freight Line Inc.,ODFL,0.082423,,
250,TransDigm Group Incorporated,TDG,0.081985,,
251,Nucor Corporation,NUE,0.080405,,
252,Copart Inc.,CPRT,0.079684,,
253,Arista Networks Inc.,ANET,0.079362,,
254,Zebra Technologies Corporation Class A,ZBRA,0.078682,,
255,Dollar Tree Inc.,DLTR,0.078511,,
256,Phillips 66,PSX,0.078282,,
257,Lennar Corporation Class A,LEN,0.078088,,
258,Alexandria Real Estate Equities Inc.,ARE,0.07778,,
259,Williams Companies Inc.,WMB,0.077698,,
260,Eversource Energy,ES,0.077275,,
261,Cummins Inc.,CMI,0.077153,,
262,Ball Corporation,BLL,0.07691,,
263,Equity Residential,EQR,0.076124,,
264,Kinder Morgan Inc Class P,KMI,0.075984,,
265,Weyerhaeuser Company,WY,0.07578,,
266,Kroger Co.,KR,0.075713,,
267,WEC Energy Group Inc,WEC,0.075586,,
268,Valero Energy Corporation,VLO,0.07492,,
269,PACCAR Inc,PCAR,0.074881,,
270,Laboratory Corporation of America Holdings,LH,0.074721,,
271,Stanley Black & Decker Inc.,SWK,0.074703,,
272,Extra Space Storage Inc.,EXR,0.074492,,
273,Consolidated Edison Inc.,ED,0.074469,,
274,Fifth Third Bancorp,FITB,0.074259,,
275,Willis Towers Watson Public Limited Company,WLTW,0.073005,,
276,Republic Services Inc.,RSG,0.07183,,
277,Corning Inc,GLW,0.070564,,
278,Etsy Inc.,ETSY,0.069573,,
279,CDW Corp.,CDW,0.069161,,
280,Hershey Company,HSY,0.068627,,
281,Gartner Inc.,IT,0.06862,,
